GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,BeliefEntryCounter.AvgTracker,0,34,0,0,0,7,0,3,0,3
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,Reporter.EventReports,0,39,0,0,0,7,0,1,0,1
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,Reporter,501,197,54,2,147,68,60,21,32,21
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,BeliefEntryCounter,1,104,1,3,0,20,1,10,0,9
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,BeliefEntry,13,72,5,5,1,13,6,6,1,6
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.reporter,ReportEventFactory,39,0,2,0,10,0,4,0,3,0
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.sampling.standardsamplers,StandardNetworkSampler,26,6,2,0,4,3,2,1,1,1
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.sampling.standardsamplers,StandardNodeSampler,82,95,6,4,16,20,13,7,8,7
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.sampling.standardsamplers,StandardTransactionSampler,81,299,12,32,17,59,15,23,6,10
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.config,ConfigInitializer,89,311,26,24,19,87,26,8,1,8
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.config,Config,166,241,15,22,35,64,17,22,5,15
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.network,AbstractNetwork,79,391,15,51,8,98,14,44,2,23
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.network,FileBasedEndToEndNetwork,123,0,20,0,36,0,14,0,4,0
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.network,RandomEndToEndNetwork,53,3,8,0,11,2,6,1,2,1
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.network,NetworkFactory,37,0,2,0,15,0,3,0,2,0
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.exceptions,ConfigurationException,9,0,0,0,4,0,2,0,2,0
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.node,Node,224,83,23,9,56,21,30,10,18,6
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.node,AbstractNodeFactory,17,0,0,0,7,0,5,0,5,0
CNSim Engine (cnsim-engine),ca.yorku.cmg.cnsim.engine.node,PoWNode,169,24,3,1,52,9,27,3,25,3
